NM_001010975.1	Ant	ADP/ATP translocase
XR_001702114.1	LOC100578839	uncharacterized LOC100578839
XR_001702115.1	LOC100578839	uncharacterized LOC100578839
XR_001702116.1	LOC100578839	uncharacterized LOC100578839
XR_001702117.1	LOC100578839	uncharacterized LOC100578839
XR_001702118.1	LOC100578839	uncharacterized LOC100578839
XR_001702119.1	LOC100578839	uncharacterized LOC100578839
XR_001702120.1	LOC100578839	uncharacterized LOC100578839
XR_001702121.1	LOC100578839	uncharacterized LOC100578839
XR_001702122.1	LOC100578839	uncharacterized LOC100578839
XR_001702123.1	LOC100578839	uncharacterized LOC100578839
XR_001702124.1	LOC100578839	uncharacterized LOC100578839
XR_001702125.1	LOC100578839	uncharacterized LOC100578839
XR_001702126.1	LOC100578839	uncharacterized LOC100578839
XR_001702127.1	LOC100578839	uncharacterized LOC100578839
XR_001702128.1	LOC100578839	uncharacterized LOC100578839
XR_001702129.1	LOC100578839	uncharacterized LOC100578839
XR_001702130.1	LOC100578839	uncharacterized LOC100578839
XR_001702131.1	LOC100578839	uncharacterized LOC100578839
XR_001702132.1	LOC100578839	uncharacterized LOC100578839
XR_001702133.1	LOC100578839	uncharacterized LOC100578839
XR_001702134.1	LOC100578839	uncharacterized LOC100578839
XR_001702135.1	LOC100578839	uncharacterized LOC100578839
XR_001702136.1	LOC100578839	uncharacterized LOC100578839
XR_001702137.1	LOC100578839	uncharacterized LOC100578839
XR_001702138.1	LOC100578839	uncharacterized LOC100578839
XR_001702139.1	LOC100578839	uncharacterized LOC100578839
XR_001702140.1	LOC725294	tyrosine-protein phosphatase 99A-like
XR_001702141.1	LOC725294	tyrosine-protein phosphatase 99A-like
XR_001702142.1	LOC725294	tyrosine-protein phosphatase 99A-like
XR_001702143.1	LOC100577688	uncharacterized LOC100577688
XR_001702144.1	LOC100577688	uncharacterized LOC100577688
XR_001702145.1	LOC100577688	uncharacterized LOC100577688
XR_001702146.1	LOC102656852	uncharacterized LOC102656852
XR_001702147.1	LOC102656852	uncharacterized LOC102656852
XR_001702148.1	LOC102656852	uncharacterized LOC102656852
XR_001702149.1	LOC102656852	uncharacterized LOC102656852
XR_001702150.1	LOC107964044	uncharacterized LOC107964044
XR_001702151.1	LOC100576602	uncharacterized LOC100576602
XR_001702152.1	LOC100576602	uncharacterized LOC100576602
XR_001702153.1	LOC100576602	uncharacterized LOC100576602
XR_001702154.1	LOC100576602	uncharacterized LOC100576602
XR_001702155.1	LOC100576602	uncharacterized LOC100576602
XR_001702156.1	LOC102653619	uncharacterized LOC102653619
XR_001702157.1	LOC107963981	uncharacterized LOC107963981
XR_001702158.1	LOC107963981	uncharacterized LOC107963981
XR_001702159.1	LOC107964045	uncharacterized LOC107964045
XR_001702160.1	LOC107964046	uncharacterized LOC107964046
XR_001702161.1	LOC102656584	uncharacterized LOC102656584
XR_001702162.1	LOC107964047	uncharacterized LOC107964047
XR_001702163.1	LOC102655330	uncharacterized LOC102655330
XR_001702164.1	LOC102655330	uncharacterized LOC102655330
XR_001702165.1	LOC107964048	uncharacterized LOC107964048
XR_001702166.1	LOC107964048	uncharacterized LOC107964048
XR_001702167.1	LOC107964049	uncharacterized LOC107964049
XR_001702168.1	LOC107964049	uncharacterized LOC107964049
XR_001702169.1	LOC107964050	uncharacterized LOC107964050
XR_001702170.1	LOC102654348	uncharacterized LOC102654348
XR_001702171.1	LOC102654348	uncharacterized LOC102654348
XR_001702172.1	LOC102654348	uncharacterized LOC102654348
XR_001702173.1	LOC102654386	uncharacterized LOC102654386
XR_001702174.1	LOC107964051	uncharacterized LOC107964051
XR_001702175.1	LOC107964052	uncharacterized LOC107964052
XR_001702176.1	LOC408710	KH domain-containing, RNA-binding, signal transduction-associated protein 2-like
XR_001702177.1	LOC408710	KH domain-containing, RNA-binding, signal transduction-associated protein 2-like
XR_001702178.1	LOC408715	lachesin
XR_001702179.1	LOC102656434	uncharacterized LOC102656434
XR_001702180.1	LOC102656434	uncharacterized LOC102656434
XR_001702181.1	LOC102656562	uncharacterized LOC102656562
XR_001702182.1	LOC102656562	uncharacterized LOC102656562
XR_001702183.1	LOC107964053	uncharacterized LOC107964053
XR_001702184.1	LOC107964054	uncharacterized LOC107964054
XR_001702185.1	LOC107964055	uncharacterized LOC107964055
XR_001702186.1	LOC102653750	uncharacterized LOC102653750
XR_001702187.1	LOC107964056	uncharacterized LOC107964056
XR_001702188.1	LOC107964057	uncharacterized LOC107964057
XR_001702189.1	LOC107964058	uncharacterized LOC107964058
XR_001702190.1	LOC107964058	uncharacterized LOC107964058
XR_001702191.1	LOC107964059	uncharacterized LOC107964059
XR_001702192.1	LOC107964060	uncharacterized LOC107964060
XR_001702193.1	LOC107964062	uncharacterized LOC107964062
XR_001702194.1	LOC102654040	uncharacterized LOC102654040
XR_001702195.1	LOC102654040	uncharacterized LOC102654040
XR_001702196.1	LOC102654040	uncharacterized LOC102654040
XR_001702197.1	LOC102654040	uncharacterized LOC102654040
XR_001702198.1	LOC102654040	uncharacterized LOC102654040
XR_001702199.1	LOC102654040	uncharacterized LOC102654040
XR_001702200.1	LOC102654210	uncharacterized LOC102654210
XR_001702201.1	LOC107964063	uncharacterized LOC107964063
XR_001702202.1	LOC107964065	uncharacterized LOC107964065
XR_001702203.1	LOC107964065	uncharacterized LOC107964065
XR_001702204.1	LOC107964066	uncharacterized LOC107964066
XR_001702205.1	LOC107964067	uncharacterized LOC107964067
XR_001702206.1	LOC107964069	uncharacterized LOC107964069
XR_001702207.1	LOC107964068	uncharacterized LOC107964068
XR_001702208.1	LOC107964069	uncharacterized LOC107964069
XR_001702209.1	LOC107964069	uncharacterized LOC107964069
XR_001702210.1	LOC107964069	uncharacterized LOC107964069
XR_001702211.1	LOC107964069	uncharacterized LOC107964069
XR_001702212.1	LOC107964069	uncharacterized LOC107964069
XR_001702213.1	LOC107964069	uncharacterized LOC107964069
XR_001702214.1	LOC107964069	uncharacterized LOC107964069
XR_001702215.1	LOC107964069	uncharacterized LOC107964069
XR_001702216.1	LOC107964070	uncharacterized LOC107964070
XR_001702217.1	LOC107964071	uncharacterized LOC107964071
XR_001702218.1	LOC107964072	uncharacterized LOC107964072
XR_001702219.1	LOC107964072	uncharacterized LOC107964072
XR_001702220.1	LOC107964073	uncharacterized LOC107964073
XR_001702221.1	LOC107964074	uncharacterized LOC107964074
XR_001702222.1	LOC107964075	uncharacterized LOC107964075
XR_001702223.1	LOC107964075	uncharacterized LOC107964075
XR_001702224.1	LOC102654731	uncharacterized LOC102654731
XR_001702225.1	LOC100578365	uncharacterized LOC100578365
XR_001702226.1	LOC102655706	uncharacterized LOC102655706
XR_001702227.1	LOC107964076	uncharacterized LOC107964076
XR_001702228.1	LOC102653975	uncharacterized LOC102653975
XR_001702229.1	LOC102653975	uncharacterized LOC102653975
XR_001702230.1	LOC408666	uncharacterized LOC408666
XR_001702231.1	LOC102654230	uncharacterized LOC102654230
XR_001702232.1	LOC107964078	uncharacterized LOC107964078
XR_001702233.1	LOC107964079	uncharacterized LOC107964079
XR_001702234.1	LOC102656630	uncharacterized LOC102656630
XR_001702235.1	LOC102653941	uncharacterized LOC102653941
XR_001702236.1	LOC107964080	uncharacterized LOC107964080
XR_001702237.1	LOC107964081	uncharacterized LOC107964081
XR_001702238.1	LOC102653941	uncharacterized LOC102653941
XR_001702239.1	LOC100578420	uncharacterized LOC100578420
XR_001702240.1	LOC107964083	uncharacterized LOC107964083
XR_001702241.1	LOC102654817	uncharacterized LOC102654817
XR_001702242.1	LOC107964082	uncharacterized LOC107964082
XR_001702243.1	LOC107964084	uncharacterized LOC107964084
XR_001702244.1	LOC107964085	uncharacterized LOC107964085
XR_001702245.1	LOC107964086	uncharacterized LOC107964086
XR_001702246.1	LOC107964087	uncharacterized LOC107964087
XR_001702247.1	LOC107964088	uncharacterized LOC107964088
XR_001702248.1	LOC107964090	uncharacterized LOC107964090
XR_001702249.1	LOC107964090	uncharacterized LOC107964090
XR_001702250.1	LOC107964090	uncharacterized LOC107964090
XR_001702251.1	LOC551254	CDK5 and ABL1 enzyme substrate 2
XR_001702252.1	LOC107964091	uncharacterized LOC107964091
XR_001702253.1	LOC107964092	uncharacterized LOC107964092
XR_001702254.1	LOC100577437	uncharacterized LOC100577437
XR_001702255.1	LOC100577437	uncharacterized LOC100577437
XR_001702256.1	LOC100577437	uncharacterized LOC100577437
XR_001702257.1	LOC100577474	uncharacterized LOC100577474
XR_001702258.1	LOC107964093	uncharacterized LOC107964093
XR_001702259.1	LOC412009	cyclin-C
XR_001702260.1	LOC107964094	uncharacterized LOC107964094
XR_001702261.1	LOC107964095	uncharacterized LOC107964095
XR_001702262.1	LOC107964096	uncharacterized LOC107964096
XR_001702263.1	LOC107964097	uncharacterized LOC107964097
XR_001702264.1	LOC107964098	uncharacterized LOC107964098
XR_001702265.1	LOC107964098	uncharacterized LOC107964098
XR_001702266.1	LOC102655291	uncharacterized LOC102655291
XR_001702267.1	LOC102655291	uncharacterized LOC102655291
XR_001702268.1	LOC102655291	uncharacterized LOC102655291
XR_001702269.1	LOC102655235	uncharacterized LOC102655235
XR_001702270.1	LOC107964099	uncharacterized LOC107964099
XR_001702271.1	LOC102656232	uncharacterized LOC102656232
XR_001702272.1	LOC102656232	uncharacterized LOC102656232
XR_001702273.1	LOC102655559	uncharacterized LOC102655559
XR_001702274.1	LOC102656216	uncharacterized LOC102656216
XR_001702275.1	LOC102656216	uncharacterized LOC102656216
XR_001702276.1	LOC102656216	uncharacterized LOC102656216
XR_001702277.1	LOC107964100	uncharacterized LOC107964100
XR_001702278.1	LOC107964101	uncharacterized LOC107964101
XR_001702279.1	LOC102655632	uncharacterized LOC102655632
XR_001702280.1	LOC724275	uncharacterized LOC724275
XR_001702281.1	LOC107964103	uncharacterized LOC107964103
XR_001702282.1	LOC102656426	uncharacterized LOC102656426
XR_001702283.1	LOC552311	T-box transcription factor TBX10-like
XR_001702284.1	LOC552311	T-box transcription factor TBX10-like
XR_001702285.1	LOC107964104	uncharacterized LOC107964104
XR_001702286.1	LOC107964105	uncharacterized LOC107964105
XR_001702287.1	LOC107964106	uncharacterized LOC107964106
XR_001702288.1	LOC102656327	uncharacterized LOC102656327
XR_001702289.1	LOC107964108	uncharacterized LOC107964108
XR_001702290.1	LOC102656327	uncharacterized LOC102656327
XR_001702291.1	LOC107964114	uncharacterized LOC107964114
XR_001702292.1	LOC107964125	uncharacterized LOC107964125
XR_001702293.1	LOC107964125	uncharacterized LOC107964125
XR_001702294.1	LOC107964125	uncharacterized LOC107964125
XR_001702295.1	LOC102656720	uncharacterized LOC102656720
XR_001702296.1	LOC102656277	uncharacterized LOC102656277
XR_001702297.1	Cac	cacophony
XR_001702298.1	LOC102656246	uncharacterized LOC102656246
XR_001702299.1	LOC107964130	uncharacterized LOC107964130
XR_001702300.1	LOC107964131	uncharacterized LOC107964131
XR_001702301.1	LOC102654351	uncharacterized LOC102654351
XR_001702302.1	LOC102654297	uncharacterized LOC102654297
XR_001702303.1	LOC107964136	uncharacterized LOC107964136
XR_001702304.1	LOC107964137	uncharacterized LOC107964137
XR_001702305.1	LOC100578464	RNA-binding protein 25-like
XR_001702306.1	LOC107964138	uncharacterized LOC107964138
XR_001702307.1	LOC107964138	uncharacterized LOC107964138
XR_001702308.1	LOC107964138	uncharacterized LOC107964138
XR_001702309.1	LOC107964138	uncharacterized LOC107964138
XR_001702310.1	LOC107964138	uncharacterized LOC107964138
XR_001702311.1	LOC107964139	uncharacterized LOC107964139
XR_001702312.1	LOC102653721	uncharacterized LOC102653721
XR_001702313.1	LOC102653721	uncharacterized LOC102653721
XR_001702314.1	LOC107964140	uncharacterized LOC107964140
XR_001702315.1	LOC102656935	uncharacterized LOC102656935
XR_001702316.1	LOC102656935	uncharacterized LOC102656935
XR_001702317.1	LOC408734	succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial-like
XR_001702318.1	LOC107964142	uncharacterized LOC107964142
XR_001702319.1	LOC107964143	uncharacterized LOC107964143
XR_001702320.1	LOC102654823	uncharacterized LOC102654823
XR_001702321.1	LOC102654823	uncharacterized LOC102654823
XR_001702322.1	LOC102655152	uncharacterized LOC102655152
XR_001702323.1	LOC102655152	uncharacterized LOC102655152
XR_001702324.1	LOC102655152	uncharacterized LOC102655152
XR_001702325.1	LOC102655152	uncharacterized LOC102655152
XR_001702326.1	LOC107964144	uncharacterized LOC107964144
XR_001702327.1	LOC107964146	uncharacterized LOC107964146
XR_001702328.1	LOC107964147	uncharacterized LOC107964147
XR_001702329.1	LOC102655331	uncharacterized LOC102655331
XR_001702330.1	LOC107964148	uncharacterized LOC107964148
XR_001702331.1	LOC107964149	uncharacterized LOC107964149
XR_001702332.1	LOC102654622	uncharacterized LOC102654622
XR_001702333.1	LOC102654622	uncharacterized LOC102654622
XR_001702334.1	LOC102656910	uncharacterized LOC102656910
XR_001702335.1	LOC102656910	uncharacterized LOC102656910
XR_001702336.1	LOC102656910	uncharacterized LOC102656910
XR_001702337.1	LOC102656910	uncharacterized LOC102656910
XR_001702338.1	LOC107964150	uncharacterized LOC107964150
XR_001702339.1	LOC107964151	uncharacterized LOC107964151
XR_001702340.1	LOC107964152	uncharacterized LOC107964152
XR_001702341.1	LOC107964153	uncharacterized LOC107964153
XR_001702342.1	LOC107964154	uncharacterized LOC107964154
XR_001702343.1	LOC107964155	uncharacterized LOC107964155
XR_001702344.1	LOC107964156	uncharacterized LOC107964156
XR_001702345.1	LOC102653954	uncharacterized LOC102653954
XR_001702346.1	LOC102654462	uncharacterized LOC102654462
XR_001702347.1	LOC102654462	uncharacterized LOC102654462
XR_001702348.1	LOC102654462	uncharacterized LOC102654462
XR_001702349.1	LOC102654462	uncharacterized LOC102654462
XR_001702350.1	LOC102654462	uncharacterized LOC102654462
XR_001702351.1	LOC102654462	uncharacterized LOC102654462
XR_001702352.1	LOC102654462	uncharacterized LOC102654462
XR_001702353.1	LOC102654462	uncharacterized LOC102654462
XR_001702354.1	LOC102654462	uncharacterized LOC102654462
XR_001702355.1	LOC107964157	uncharacterized LOC107964157
XR_001702356.1	LOC107964158	uncharacterized LOC107964158
XR_001702357.1	LOC409865	protein retinal degeneration B
XR_001702358.1	LOC102655196	uncharacterized LOC102655196
XR_001702359.1	LOC102655196	uncharacterized LOC102655196
XR_001702360.1	LOC102655196	uncharacterized LOC102655196
XR_001702361.1	LOC102655196	uncharacterized LOC102655196
XR_001702362.1	LOC102655226	uncharacterized LOC102655226
XR_001702363.1	LOC725959	serine/arginine repetitive matrix protein 2
XR_001702364.1	LOC102655862	uncharacterized LOC102655862
XR_001702365.1	LOC102655862	uncharacterized LOC102655862
XR_001702366.1	LOC102655862	uncharacterized LOC102655862
XR_001702367.1	LOC102655862	uncharacterized LOC102655862
XR_001702368.1	LOC102655862	uncharacterized LOC102655862
XR_001702369.1	LOC107964159	uncharacterized LOC107964159
XR_001702370.1	LOC107964160	uncharacterized LOC107964160
XR_001702371.1	LOC107964161	uncharacterized LOC107964161
XR_001702372.1	LOC107964161	uncharacterized LOC107964161
XR_001702373.1	LOC107964161	uncharacterized LOC107964161
XR_001702374.1	LOC107964162	uncharacterized LOC107964162
XR_001702375.1	LOC102654260	uncharacterized LOC102654260
XR_001702376.1	LOC102654260	uncharacterized LOC102654260
XR_001702377.1	LOC410956	serine/threonine-protein kinase NLK
XR_001702378.1	LOC102653714	uncharacterized LOC102653714
XR_001702379.1	LOC107964164	uncharacterized LOC107964164
XR_001702380.1	LOC100578584	uncharacterized LOC100578584
XR_001702381.1	LOC107964165	uncharacterized LOC107964165
XR_001702382.1	LOC107964166	uncharacterized LOC107964166
XR_001702383.1	LOC107964167	uncharacterized LOC107964167
XR_001702384.1	LOC107964168	uncharacterized LOC107964168
XR_001702385.1	LOC102656040	uncharacterized LOC102656040
XR_001702386.1	LOC107964169	uncharacterized LOC107964169
XR_001702387.1	LOC107964169	uncharacterized LOC107964169
XR_001702388.1	LOC107964170	uncharacterized LOC107964170
XR_001702389.1	LOC107964170	uncharacterized LOC107964170
XR_001702390.1	LOC107964171	uncharacterized LOC107964171
XR_001702391.1	LOC107963994	uncharacterized LOC107963994
XR_001702392.1	LOC102655807	uncharacterized LOC102655807
XR_001702393.1	LOC102655807	uncharacterized LOC102655807
XR_001702394.1	LOC102655807	uncharacterized LOC102655807
XR_001702395.1	LOC102655807	uncharacterized LOC102655807
XR_001702396.1	LOC107964173	uncharacterized LOC107964173
XR_001702397.1	LOC107964174	uncharacterized LOC107964174
XR_001702398.1	LOC102653875	uncharacterized LOC102653875
XR_001702399.1	LOC102653875	uncharacterized LOC102653875
XR_001702400.1	LOC107964175	uncharacterized LOC107964175
XR_001702401.1	LOC107964176	uncharacterized LOC107964176
XR_001702402.1	LOC107964177	uncharacterized LOC107964177
XR_001702403.1	LOC409965	cyclin-dependent kinase 12
XR_001702404.1	LOC409965	cyclin-dependent kinase 12
XR_001702405.1	LOC107964178	uncharacterized LOC107964178
XR_001702406.1	LOC107964179	uncharacterized LOC107964179
XR_001702407.1	LOC412883	Allatostatin C receptor
XR_001702408.1	LOC107964180	uncharacterized LOC107964180
XR_001702409.1	LOC107964180	uncharacterized LOC107964180
XR_001702410.1	LOC107964181	uncharacterized LOC107964181
XR_001702411.1	LOC107964182	uncharacterized LOC107964182
XR_001702412.1	LOC724737	trichohyalin-like
XR_001702413.1	LOC724737	trichohyalin-like
XR_001702414.1	LOC724737	trichohyalin-like
XR_001702415.1	LOC107964183	uncharacterized LOC107964183
XR_001702416.1	LOC107964184	uncharacterized LOC107964184
XR_001702417.1	LOC100577971	uncharacterized LOC100577971
XR_001702418.1	LOC100577971	uncharacterized LOC100577971
XR_001702419.1	LOC100577971	uncharacterized LOC100577971
XR_001702420.1	LOC100577971	uncharacterized LOC100577971
XR_001702421.1	LOC107964185	uncharacterized LOC107964185
XR_001702422.1	LOC107964185	uncharacterized LOC107964185
XR_001702423.1	LOC107964011	uncharacterized LOC107964011
XR_001702424.1	LOC100578670	uncharacterized LOC100578670
XR_001702425.1	LOC102656502	uncharacterized LOC102656502
XR_001702426.1	LOC102656502	uncharacterized LOC102656502
XR_001702427.1	LOC102656502	uncharacterized LOC102656502
XR_001702428.1	LOC100578320	uncharacterized LOC100578320
XR_001702429.1	LOC100578320	uncharacterized LOC100578320
XR_001702430.1	LOC100578320	uncharacterized LOC100578320
XR_001702431.1	LOC100578320	uncharacterized LOC100578320
XR_001702432.1	LOC100578320	uncharacterized LOC100578320
XR_001702433.1	LOC724900	uncharacterized LOC724900
XR_001702434.1	LOC102656068	uncharacterized LOC102656068
XR_001702435.1	LOC102656068	uncharacterized LOC102656068
XR_001702436.1	LOC102656068	uncharacterized LOC102656068
XR_001702437.1	LOC102656068	uncharacterized LOC102656068
XR_001702438.1	LOC102656068	uncharacterized LOC102656068
XR_001702439.1	LOC102656068	uncharacterized LOC102656068
XR_001702440.1	LOC102656068	uncharacterized LOC102656068
XR_001702441.1	LOC102656068	uncharacterized LOC102656068
XR_001702442.1	LOC102656068	uncharacterized LOC102656068
XR_001702443.1	LOC102656068	uncharacterized LOC102656068
XR_001702444.1	LOC102656068	uncharacterized LOC102656068
XR_001702445.1	LOC102656068	uncharacterized LOC102656068
XR_001702446.1	LOC102656068	uncharacterized LOC102656068
XR_001702447.1	LOC102656068	uncharacterized LOC102656068
XR_001702448.1	LOC107964186	uncharacterized LOC107964186
XR_001702449.1	LOC107964186	uncharacterized LOC107964186
XR_001702450.1	LOC102656234	uncharacterized LOC102656234
XR_001702451.1	LOC100578353	uncharacterized LOC100578353
XR_001702452.1	LOC100578353	uncharacterized LOC100578353
XR_001702453.1	LOC100578261	uncharacterized LOC100578261
XR_001702454.1	LOC100578261	uncharacterized LOC100578261
XR_001702455.1	LOC100578261	uncharacterized LOC100578261
XR_001702456.1	LOC100578261	uncharacterized LOC100578261
XR_001702457.1	LOC100578261	uncharacterized LOC100578261
XR_001702458.1	LOC100578283	uncharacterized LOC100578283
XR_001702459.1	LOC102654134	uncharacterized LOC102654134
XR_001702460.1	LOC102654134	uncharacterized LOC102654134
XR_001702461.1	LOC102654134	uncharacterized LOC102654134
XR_001702462.1	LOC100578710	uncharacterized LOC100578710
XR_001702463.1	LOC100578710	uncharacterized LOC100578710
XR_001702464.1	LOC107964187	uncharacterized LOC107964187
XR_001702465.1	LOC107964188	uncharacterized LOC107964188
XR_001702466.1	LOC102654687	uncharacterized LOC102654687
XR_001702467.1	LOC107964190	uncharacterized LOC107964190
XR_001702468.1	LOC107964191	uncharacterized LOC107964191
XR_001702469.1	LOC100577278	uncharacterized LOC100577278
XR_001702470.1	LOC100577278	uncharacterized LOC100577278
XR_001702471.1	LOC100577278	uncharacterized LOC100577278
XR_001702472.1	LOC100577278	uncharacterized LOC100577278
XR_001702473.1	LOC100577278	uncharacterized LOC100577278
XR_001702474.1	LOC100577278	uncharacterized LOC100577278
XR_001702475.1	LOC100577278	uncharacterized LOC100577278
XR_001702476.1	LOC100577278	uncharacterized LOC100577278
XR_001702477.1	LOC100577278	uncharacterized LOC100577278
XR_001702478.1	LOC100577278	uncharacterized LOC100577278
XR_001702479.1	LOC100577278	uncharacterized LOC100577278
XR_001702480.1	LOC100577278	uncharacterized LOC100577278
XR_001702481.1	LOC100577303	uncharacterized LOC100577303
XR_001702482.1	LOC100577303	uncharacterized LOC100577303
XR_001702483.1	LOC100577303	uncharacterized LOC100577303
XR_001702484.1	LOC100577303	uncharacterized LOC100577303
XR_001702485.1	LOC100577303	uncharacterized LOC100577303
XR_001702486.1	LOC100577303	uncharacterized LOC100577303
XR_001702487.1	LOC100577303	uncharacterized LOC100577303
XR_001702488.1	LOC107964192	uncharacterized LOC107964192
XR_001702489.1	LOC100577162	uncharacterized LOC100577162
XR_001702490.1	LOC100577162	uncharacterized LOC100577162
XR_001702491.1	LOC102655011	uncharacterized LOC102655011
XR_001702492.1	LOC102655011	uncharacterized LOC102655011
XR_001702493.1	LOC100576419	uncharacterized LOC100576419
XR_001702494.1	LOC100576419	uncharacterized LOC100576419
XR_001702495.1	LOC107964193	uncharacterized LOC107964193
XR_001702496.1	LOC107964194	uncharacterized LOC107964194
XR_001702497.1	LOC107964195	uncharacterized LOC107964195
XR_001702498.1	LOC102656549	uncharacterized LOC102656549
XR_001702499.1	LOC102656549	uncharacterized LOC102656549
XR_001702500.1	LOC102656605	uncharacterized LOC102656605
XR_001702501.1	LOC107964196	uncharacterized LOC107964196
XR_001702502.1	LOC107964197	uncharacterized LOC107964197
XR_001702503.1	LOC107964198	uncharacterized LOC107964198
XR_001702504.1	LOC107964199	uncharacterized LOC107964199
XR_001702505.1	LOC102654882	uncharacterized LOC102654882
XR_001702506.1	LOC102655212	uncharacterized LOC102655212
XR_001702507.1	LOC102655212	uncharacterized LOC102655212
XR_001702508.1	LOC107964200	uncharacterized LOC107964200
XR_001702509.1	LOC107964201	uncharacterized LOC107964201
XR_001702510.1	LOC107964202	uncharacterized LOC107964202
XR_001702511.1	LOC107964203	uncharacterized LOC107964203
XR_001702512.1	LOC408755	probable DNA replication complex GINS protein PSF2
XR_001702513.1	LOC107964015	uncharacterized LOC107964015
XR_001702514.1	LOC102654815	uncharacterized LOC102654815
XR_001702515.1	LOC102654815	uncharacterized LOC102654815
XR_001702516.1	LOC102654815	uncharacterized LOC102654815
XR_001702517.1	LOC102654815	uncharacterized LOC102654815
XR_001702518.1	LOC107964204	uncharacterized LOC107964204
XR_001702519.1	LOC107964204	uncharacterized LOC107964204
XR_001702520.1	LOC102653804	uncharacterized LOC102653804
XR_001702521.1	LOC102653804	uncharacterized LOC102653804
XR_001702522.1	LOC102653989	uncharacterized LOC102653989
XR_001702523.1	LOC107964208	uncharacterized LOC107964208
XR_001702524.1	LOC107964209	uncharacterized LOC107964209
XR_001702525.1	LOC102653892	uncharacterized LOC102653892
XR_001702526.1	LOC100576234	uncharacterized LOC100576234
XR_001702527.1	LOC100576234	uncharacterized LOC100576234
XR_001702528.1	LOC100576234	uncharacterized LOC100576234
XR_001702529.1	LOC100576234	uncharacterized LOC100576234
XR_001702530.1	LOC100576234	uncharacterized LOC100576234
XR_001702531.1	LOC100576234	uncharacterized LOC100576234
XR_001702532.1	LOC100576234	uncharacterized LOC100576234
XR_001702533.1	LOC100576234	uncharacterized LOC100576234
XR_001702534.1	LOC102654870	uncharacterized LOC102654870
XR_001702535.1	LOC102654870	uncharacterized LOC102654870
XR_001702536.1	LOC107964210	uncharacterized LOC107964210
XR_001702537.1	LOC100578165	uncharacterized LOC100578165
XR_001702538.1	LOC100578165	uncharacterized LOC100578165
XR_001702539.1	LOC100578165	uncharacterized LOC100578165
XR_001702540.1	LOC100578165	uncharacterized LOC100578165
XR_001702541.1	LOC100578165	uncharacterized LOC100578165
XR_001702542.1	LOC107964211	uncharacterized LOC107964211
XR_001702543.1	LOC107964212	uncharacterized LOC107964212
XR_001702544.1	LOC107964212	uncharacterized LOC107964212
XR_001702545.1	LOC107964212	uncharacterized LOC107964212
XR_001702546.1	LOC107964212	uncharacterized LOC107964212
XR_001702547.1	LOC410936	cytochrome b5 reductase 4
XR_001702548.1	LOC410936	cytochrome b5 reductase 4
XR_001702549.1	LOC410936	cytochrome b5 reductase 4
XR_001702550.1	LOC410936	cytochrome b5 reductase 4
XR_001702551.1	LOC410936	cytochrome b5 reductase 4
XR_001702552.1	LOC410936	cytochrome b5 reductase 4
XR_001702553.1	LOC410936	cytochrome b5 reductase 4
XR_001702554.1	LOC410936	cytochrome b5 reductase 4
XR_001702555.1	LOC410936	cytochrome b5 reductase 4
XR_001702556.1	LOC102656050	uncharacterized LOC102656050
XR_001702557.1	LOC102656050	uncharacterized LOC102656050
XR_001702558.1	LOC102656104	uncharacterized LOC102656104
XR_001702559.1	LOC107964214	uncharacterized LOC107964214
XR_001702560.1	LOC107964215	uncharacterized LOC107964215
XR_001702561.1	LOC107964216	uncharacterized LOC107964216
XR_001702562.1	LOC107964217	uncharacterized LOC107964217
XR_001702563.1	LOC102653624	uncharacterized LOC102653624
XR_001702564.1	LOC102655867	uncharacterized LOC102655867
XR_001702565.1	LOC102655867	uncharacterized LOC102655867
XR_001702566.1	LOC102655867	uncharacterized LOC102655867
XR_001702567.1	LOC102655867	uncharacterized LOC102655867
XR_001702568.1	LOC107964218	uncharacterized LOC107964218
XR_001702569.1	LOC107964218	uncharacterized LOC107964218
XR_001702570.1	LOC107964218	uncharacterized LOC107964218
XR_001702571.1	LOC107964218	uncharacterized LOC107964218
XR_001702572.1	LOC107964218	uncharacterized LOC107964218
XR_001702573.1	LOC107964218	uncharacterized LOC107964218
XR_001702574.1	LOC107964218	uncharacterized LOC107964218
XR_001702575.1	LOC107964218	uncharacterized LOC107964218
XR_001702576.1	LOC107964218	uncharacterized LOC107964218
XR_001702577.1	LOC102654214	uncharacterized LOC102654214
XR_001702578.1	LOC107964219	uncharacterized LOC107964219
XR_001702579.1	LOC107964220	uncharacterized LOC107964220
XR_001702580.1	LOC107964220	uncharacterized LOC107964220
XR_001702581.1	LOC107964221	uncharacterized LOC107964221
XR_001702582.1	LOC107964222	uncharacterized LOC107964222
XR_001702583.1	LOC107964223	uncharacterized LOC107964223
XR_001702584.1	LOC102653931	uncharacterized LOC102653931
XR_001702585.1	LOC102653931	uncharacterized LOC102653931
XR_001702586.1	LOC102653931	uncharacterized LOC102653931
XR_001702587.1	LOC102653931	uncharacterized LOC102653931
XR_001702588.1	LOC102653931	uncharacterized LOC102653931
XR_001702589.1	LOC107964224	uncharacterized LOC107964224
XR_001702590.1	LOC100576644	uncharacterized LOC100576644
XR_001702591.1	LOC100577620	uncharacterized LOC100577620
XR_001702592.1	LOC100577620	uncharacterized LOC100577620
XR_001702593.1	LOC100577620	uncharacterized LOC100577620
